ingredient_a,ingredient_b,reason,notice_no,product_rows
cyclosporine,nebivolol,"근육통, 근육약화, 근염, 때때로 횡문근 변성을 포함한 근육독성 촉진 가능",20230083,150
cyclosporine,filgotinib,면억억제 효과 증가,20240466,30
filgotinib,tacrolimus,면억억제 효과 증가,20240466,60
dapagliflozin citric acid,iomeprol,기능적 신부전에 의해 유산 산성증 촉진,20200061,312
iomeprol,teneligliptin,기능적 신부전에 의해 유산 산성증 촉진,20200061,1482
empagliflozin,iomeprol,기능적 신부전에 의해 유산 산성증 촉진,20200061,2912
iomeprol,linagliptin,기능적 신부전에 의해 유산 산성증 촉진,20200061,1859
alogliptin,iomeprol,기능적 신부전에 의해 유산 산성증 촉진,20200061,78
dapagliflozin anhydrous lactose mixture,iomeprol,기능적 신부전에 의해 유산 산성증 촉진,20200061,195
iomeprol,sitagliptin,기능적 신부전에 의해 유산 산성증 촉진,20200061,4524
dapagliflozin,iomeprol,기능적 신부전에 의해 유산 산성증 촉진,20200061,1040
evogliptin,iomeprol,기능적 신부전에 의해 유산 산성증 촉진,20200061,52
iomeprol,rosuvastatin,기능적 신부전에 의해 유산 산성증 촉진,20200061,78
irinotecan,itraconazole,"골수억제 및 설사 같은 약물이상반응 발생 위험 증가, Itraconazole 투여 중 및 종료 후 2주 간 해당 성분 투여 금기",20190131,1406
itraconazole,lercanidipine,"Lercanidipine의 혈중농도 증가. 저혈압, 말초부종 같은 약물이상반응 발생 위험 증가, Itraconazole 투여 중 및 종료 후 2주 간 해당 성분 투여 금기",20190131,1258
atazanavir,simvastatin,횡문근 융해를 포함한 근육병과 같은 중대한 반응 가능,20230083,109
gemigliptin,iohexol,기능적 신부전에 의해 유산 산성증 촉진,20200061,619
dapagliflozin citric acid,iohexol,기능적 신부전에 의해 유산 산성증 촉진,20200061,3049
evogliptin,iohexol,기능적 신부전에 의해 유산 산성증 촉진,20200061,496
ethyl esters of the iodised fatty acids of poppyseed oil,teneligliptin,기능적 신부전에 의해 유산 산성증 촉진,20200061,342
iobitridol,metformin,기능적 신부전에 의해 유산 산성증 촉진,20200061,9576
iopromide,teneligliptin,기능적 신부전에 의해 유산 산성증 촉진,20200061,1026
doxycycline,isotretinoin,두개내 고혈압,20040002,112
apixaban,itraconazole,"Apixaban 관련 약물이상반응 발생 위험 증가, Itraconazole 투여 중 및 종료 후 2주 간 권장하지 않음",20240030,3478
glimepiride,iopamidol,기능성 신부전에 의한 유산산성증 촉진,20110188,3692
rasagiline,tramadol,"고혈압위기, 세로토닌증후군 발생 위험 증가",20150021,891
ezetimibe,sofosbuvir,횡문근융해증을 포함한 근육병증 위험 증가 가능,20230083,195
iopromide,vildagliptin,기능성 신부전에 의한 유산산성증 촉진,20110188,243
iopamidol,lobeglitazone,기능적 신부전에 의해 유산 산성증 촉진,20200061,520
atorvastatin,glecaprevir,횡문근융해증을 비롯한 근육질환 등 중증 이상반응,20200130,627
atorvastatin,pibrentasvir,횡문근융해증을 비롯한 근육질환 등 중증 이상반응,20200130,627
rifampicin,venetoclax,강력한 CYP3A 유도제인 Rifampicin과 병용 투여 시 Venetoclax의 Cmax 및 AUC∞는 각각 42% 및 71%까지 감소함,20250086,24
carbamazepine,venetoclax,CYP3A 유도제와의 병용은 Venetoclax의 노출을 감소시켜 결과적으로 효능 부족을 초래할 수 있음,20250086,30
iohexol,pioglitazone,기능적 신부전에 의해 유산 산성증 촉진,20110188,2159
iobitridol,sitagliptin,기능적 신부전에 의해 유산 산성증 촉진,20200061,2784
rosuvastatin,sofosbuvir,"로수바스타틴 농도를 현저하게 증가시킬 수 있으며, 이는 횡문근융해증을 포함하여 근육병증의 위험 증가",20170086,815
ledipasvir,oxcarbazepine,레디파스비르 및 소포스부비르 혈장 농도를 현저히 떨어뜨려 이 약의 치료  효과를 감소시킬 수 있음,20170086,7
emtricitabine,simvastatin,"Simvastatin 혈중농도 증가, 횡문근융해를 비롯한 근육병증",20190131,109
bictegravir,rifampicin,Bictegravir의 혈중 농도 감소로 인해 치료 효과 소실 및 내성 발현 야기 가능,20250086,8
ioversol,metformin,기능적 신부전에 의해 유산 산성증 촉진,20200061,11970
empagliflozin,ioversol,기능적 신부전에 의해 유산 산성증 촉진,20200061,2240
dapagliflozin anhydrous lactose mixture,ioversol,기능적 신부전에 의해 유산 산성증 촉진,20200061,150
dapagliflozin,ioversol,기능적 신부전에 의해 유산 산성증 촉진,20200061,800
dapagliflozin citric acid,ioversol,기능적 신부전에 의해 유산 산성증 촉진,20200061,240
dapagliflozin bis,ioversol,기능적 신부전에 의해 유산 산성증 촉진,20200061,120
ioversol,linagliptin,기능적 신부전에 의해 유산 산성증 촉진,20200061,1430
ioversol,teneligliptin,기능적 신부전에 의해 유산 산성증 촉진,20200061,1140
ioversol,lobeglitazone,기능적 신부전에 의해 유산 산성증 촉진,20200061,100
alogliptin,ioversol,기능적 신부전에 의해 유산 산성증 촉진,20200061,60
ioversol,sitagliptin,기능적 신부전에 의해 유산 산성증 촉진,20200061,3480
enavogliflozin,ioversol,기능적 신부전에 의해 유산 산성증 촉진,20200061,30
bosentan,tacrolimus,보센탄의 혈중농도 증가,20110110,90
ergotamine,fluconazole,"맥각독성(혈관경련, 말단 및 기타조직 허혈 등) 위험 증가",20100278,153
iopamidol,pioglitazone,기능성 신부전에 의한 유산산성증 촉진,20110188,884
iopromide,pioglitazone,기능성 신부전에 의한 유산산성증 촉진,20110188,153
buspirone,selegiline,혈압상승,20040002,25
itraconazole,ticagrelor,"출혈 같은 약물이상반응 발생 위험 증가, Itraconazole 투여 중 및 종료 후 2주 간 해당 성분 투여 금기",20180088,740
itraconazole,metformin,"근육병증, 횡문근융해증 위험 증가 가능",20230083,666
cyclosporine,metformin,"근육통, 근육약화, 근염, 때때로 횡문근 변성을 포함한 근육독성 촉진 가능",20230083,225
cyclosporine,valsartan,"근육통, 근육약화, 근염, 때때로 횡문근 변성을 포함한 근육독성 촉진 가능",20230083,1035
itraconazole,valsartan,"근육병증, 횡문근융해증 위험 증가 가능",20230083,1184
edoxaban,itraconazole,"Edoxaban 관련 약물이상반응 발생 위험 증가, Itraconazole 투여 중 및 종료 후 2주 간 권장하지 않음",20240030,592
clarithromycin,domperidone,"QTc 연장 효과 증대로 심각한 위험(Torsade de Pointes, 심각한 심실성 부정맥 포함) 가능성. 강력한 CYP억제제가 돔페리돈의 대사를 감소시켜, 돔페리돈의 영향(이상반응 포함) 증대 가능성",20150090,3009
domperidone,levofloxacin,"QTc 연장 효과 증대로 심각한 위험(Torsade de Pointes, 심각한 심실성 부정맥 포함) 가능성",20150090,2244
ciprofloxacin,domperidone,"QTc 연장 효과 증대로 심각한 위험(Torsade de Pointes, 심각한 심실성 부정맥 포함) 가능성",20150090,1785
domperidone,escitalopram,"QTc 연장 효과 증대로 심각한 위험(Torsade de Pointes, 심각한 심실성 부정맥 포함) 가능성",20150090,1632
domperidone,itraconazole,"중대한 심실성 부정맥, 급성심장사 같은 약물이상반응 발생 위험 증가, Itraconazole 투여 중 및 종료 후 2주 간 해당 성분 투여 금기",20150090,1258
bicalutamide,domperidone,"QTc 연장 효과 증대로 심각한 위험(Torsade de Pointes, 심각한 심실성 부정맥 포함) 가능성",20150090,204
alfacalcidol,paricalcitol,고칼슘혈증,20100278,410
iopromide,sitagliptin,기능적 신부전에 의해 유산 산성증 촉진,20200061,3132
dapagliflozin citric acid,iopromide,기능적 신부전에 의해 유산 산성증 촉진,20200061,216
empagliflozin,iopromide,기능적 신부전에 의해 유산 산성증 촉진,20200061,2016
dapagliflozin,iopromide,기능적 신부전에 의해 유산 산성증 촉진,20200061,720
iopromide,lobeglitazone,기능적 신부전에 의해 유산 산성증 촉진,20200061,90
iopromide,linagliptin,기능적 신부전에 의해 유산 산성증 촉진,20200061,1287
dapagliflozin anhydrous lactose mixture,iopromide,기능적 신부전에 의해 유산 산성증 촉진,20200061,135
anagliptin,iopromide,기능적 신부전에 의해 유산 산성증 촉진,20200061,27
clarithromycin,finerenone,Finerenone 혈중농도의 현저한 증가가 예상됨,20240030,354
glibenclamide,iopamidol,기능성 신부전에 의한 유산산성증 촉진,20110188,208
glibenclamide,iomeprol,기능성 신부전에 의한 유산산성증 촉진,20110188,52
glibenclamide,iodixanol,기능적 신부전에 의해 유산 산성증 촉진,20200061,48
glibenclamide,iohexol,기능적 신부전에 의해 유산 산성증 촉진,20110188,508
cyclosporine,fenofibrate,신기능 악화를 수반하는 횡문근융해증 발현 가능,20230083,465
tacrolimus,tofacitinib,면억억제 효과 증가,20240466,900
rifampicin,tamoxifen,Tamoxifen의 혈장농도를 낮춤,20250086,56
irinotecan,pyrazinamide,이리노테칸 활성 대사물(SN-38)의 혈중 농도가 저하되어 작용 감소,20250086,19
ciprofloxacin,tizanidine,"저혈압에 의해 졸음, 현기증 및 정신운동능력 감소",20090300,315
clarithromycin,colchicine,콜키신에 대한 노출 증가 가능,20180088,354
fimasartan,itraconazole,"근육병증, 횡문근융해증 위험 증가 가능",20230083,444
cyclosporine,fimasartan,"근육통, 근육약화, 근염, 때때로 횡문근 변성을 포함한 근육독성 촉진 가능",20230083,285
ethyl esters of the iodised fatty acids of poppyseed oil,sitagliptin,기능적 신부전에 의해 유산 산성증 촉진,20200061,1009
ethambutol,irinotecan,이리노테칸 활성 대사물(SN-38)의 혈중 농도가 저하되어 작용 감소,20250086,19
glimepiride,iopromide,기능성 신부전에 의한 유산산성증 촉진,20110188,639
aspirin,methotrexate,혈액학적 독성,20040002,828
domperidone,haloperidol,"QTc 연장 효과 증대로 심각한 위험(Torsade de Pointes, 심각한 심실성 부정맥 포함) 가능성",20150090,204
domperidone,voriconazole,"QTc 연장 효과 증대로 심각한 위험(Torsade de Pointes, 심각한 심실성 부정맥 포함) 가능성. 강력한 CYP억제제가 돔페리돈의 대사를 감소시켜, 돔페리돈의 영향(이상반응 포함) 증대 가능성",20150090,34
domperidone,fluconazole,"QTc 연장 효과 증대로 심각한 위험(Torsade de Pointes, 심각한 심실성 부정맥 포함) 가능성",20150090,2601
domperidone,ebastine,"QTc 연장 효과 증대로 심각한 위험(Torsade de Pointes, 심각한 심실성 부정맥 포함) 가능성",20150090,374
ketoprofen,methotrexate,신세뇨관에서 Methotrexate 배설이 지연되어 Methotrexate의 혈액학적 독성 증가,20110070,45
meropenem,sodium valproate,발프론산의 작용 감약,20080056,528
clarithromycin,lurasidone,Lurasidone의 노출을 증가시킬 수 있음,20250046,885
itraconazole,lurasidone,"저혈압, 순환허탈, 중증의 추체외로 증상, 발작과 같은 약물이상반응 발생 위험 증가, Itraconazole 투여 중 및 종료 후 2주 간 금기",20250046,370
caffeine,fluconazole,"맥각독성(혈관경련, 말단 및 기타조직 허혈 등) 위험 증가",20100278,153
domperidone,venlafaxine,"QTc 연장 효과 증대로 심각한 위험(Torsade de Pointes, 심각한 심실성 부정맥 포함) 가능성",20150090,238
domperidone,pseudoephedrine,"QTc 연장 효과 증대로 심각한 위험(Torsade de Pointes, 심각한 심실성 부정맥 포함) 가능성",20150090,255
domperidone,trazodone,"QTc 연장 효과 증대로 심각한 위험(Torsade de Pointes, 심각한 심실성 부정맥 포함) 가능성",20150090,119
domperidone,metoclopramide,"QTc 연장 효과 증대로 심각한 위험(Torsade de Pointes, 심각한 심실성 부정맥 포함) 가능성",20150090,68
domperidone,paliperidone,"QTc 연장 효과 증대로 심각한 위험(Torsade de Pointes, 심각한 심실성 부정맥 포함) 가능성",20150090,187
domperidone,granisetron,"QTc 연장 효과 증대로 심각한 위험(Torsade de Pointes, 심각한 심실성 부정맥 포함) 가능성",20150090,221
entacapone,metoclopramide,레보도파 효과 감소,20240466,72
ethyl esters of the iodised fatty acids of poppyseed oil,glimepiride,기능성 신부전에 의한 유산산성증 촉진,20110188,142
iobitridol,teneligliptin,기능적 신부전에 의해 유산 산성증 촉진,20200061,912
darunavir ethanolate,simvastatin,근육병증과 같은 이상사례 초래 가능,20230083,327
itraconazole,triazolam,"발작, 호흡저하, 혈관부종, 무호흡, 혼수 같은 약물이상반응 발생 위험 증가, itraconazole 투여 중 및 종료 후 2주 간 해당 성분 투여 금기",20040002,296
adefovir dipivoxil,tenofovir disoproxil,뉴클레오시드 유사체 단독투여 또는 다른 항레트로바이러스제를 병용투여했을 때 치명적인 사례를 포함한 유산산증과 지방증을 동반한 중증 간비대가 보고됨,20220049,161
ethyl esters of the iodised fatty acids of poppyseed oil,metformin,기능적 신부전에 의해 유산 산성증 촉진,20200061,3338
glimepiride,iobitridol,기능성 신부전에 의한 유산산성증 촉진,20110188,568
glimepiride,ioversol,기능성 신부전에 의한 유산산성증 촉진,20110188,710
candesartan cilexetil,itraconazole,"근육병증, 횡문근융해증 위험 증가 가능",20230083,370
cyclosporine,tofacitinib,면억억제 효과 증가,20240466,450
diphenylhydantoin,irinotecan,이리노테칸 활성 대사물(SN-38)의 혈중 농도가 저하되어 작용 감소,20250086,57
irinotecan,rifampicin,이리노테칸 활성 대사물(SN-38)의 혈중 농도가 저하되어 작용 감소,20250086,152
ibuprofen,methotrexate,혈액학적 독성,20040002,1800
atorvastatin strontium pentahydrate,itraconazole,"근육병증, 횡문근융해증 위험 증가 가능",20050017,296
norepinephrine,tulobuterol,부정맥 또는 심정지,20100246,414
cyclosporine,irbesartan,"근육병증, 횡문근융해 위험 증가 가능",20230083,60
itraconazole,salmeterol xinafoate,"Fluticasone의 혈중농도 증가로 쿠싱증후군 및 부신억제와 같은 전신 코르티코스테로이드 효과 나타날 수 있음. Salmeterol의 혈중농도 증가로 QT연장, 심계항진 등 심혈관계 이상반응 위험 증가",20250046,444
glecaprevir,irbesartan,횡문근융해증을 포함한 근육병증 위험 가능,20230083,4
irbesartan,itraconazole,"근육병증, 횡문근융해증 위험 증가 가능",20230083,296
clarithromycin,silodosin,실로도신의 혈중농도 증가,20150021,1770
cyclosporine,losartan,"근육통, 근육약화, 근염, 때때로 횡문근 변성을 포함한 근육독성 촉진 가능",20230083,210
losartan,sofosbuvir,횡문근융해증을 포함한 근육병증 위험 증가 가능,20230083,14
iodixanol,vildagliptin,기능적 신부전에 의해 유산 산성증 촉진,20200061,324
iomeprol,vildagliptin,기능성 신부전에 의한 유산산성증 촉진,20110188,351
clarithromycin,ticagrelor,티카그렐러의 혈중농도 증가,20150021,1770
methotrexate,trimethoprim,신세뇨관에서 methotrexate 배설이 지연되어 methotrexate의 혈액학적 독성 증가,20200130,18
divalproex sodium particle,meropenem,발프론산의 작용 감약,20080056,44
divalproex sodium particle,mefloquine,메플로퀸은 발프로산의 대사를 증가시키며 경련 효과를 가지고 있으므로 병용투여 시 간질성 발작이 일어날 수 있음,20220049,1
amlodipine,posaconazole,"근육병증, 횡문근융해 위험 증가 가능",20230083,130
ezetimibe,ritonavir,"횡문근융해증을 포함하는 근육병증의 잠재적인 가능성. 이 약의 투여 시작으로부터 최소 12시간 전, 투여 중 5일동안 및 투여완료 후 5일동안 심바스타틴의 사용을 중단할 것",20210113,110
itraconazole,omega-3-acid ethyl esters90,"근육병증, 횡문근융해증 위험 증가 가능",20230083,518
cyclosporine,omega-3-acid ethyl esters90,"근육통, 근육약화, 근염, 때때로 횡문근 변성을 포함한 근육독성 촉진 가능",20230083,330
febuxostat,mercaptopurine,메르캅토푸린의 혈중농도 증가,20150021,32
clarithromycin,pimozide,"pimozide의 혈중농도 상승, QT연장",20040002,177
fluconazole,triazolam,triazolam 의 약리학적 효과 및 작용증가,20040002,612
methotrexate,piroxicam,신세뇨관에서 Methotrexate 배설이 지연되어 Methotrexate의 혈액학적 독성 증가,20110070,209
hydroxyzine,levofloxacin,심부정맥 위험 증가 가능,20180088,528
escitalopram,hydroxyzine,심부정맥 위험 증가 가능,20180088,384
cyclosporine,d-mannitol,신부전 위험 증가,20250086,195
itraconazole,silodosin,"Silodosin의 혈중농도 증가, Itraconazole 투여 중 및 종료 후 2주 간 해당 성분 투여 금기",20150021,740
cobicistat,sodium bicarbonate,아타자나비르의 혈중농도 감소,20230045,67
clarithromycin,trastuzumab emtansine,이 약의 구성 성분인 DM1이 주로 CYP3A4에 의해 대사됨. 강한 CYP3A4억제제와 병용시 DM1 노출과 독성 증가 가능성,20160155,354
itraconazole,trastuzumab emtansine,"이 약의 구성 성분인 DM1이 주로 CYP3A4에 의해 대사됨. 강한 CYP3A4억제제와 병용시 DM1 노출과 독성 증가 가능성, 항암제 관련 약물이상반응 발생 위험 증가, Itraconazole 투여 중 및 종료 후 2주 간 권장하지 않음",20160155,148
alogliptin,iohexol,기능적 신부전에 의해 유산 산성증 촉진,20200061,750
acetazolamide,topiramate,신결석,20050017,218
pseudoephedrine,rasagiline,"경련, 반사항진, 이상고열, 혼수 등",20250046,2808
amiodarone,hydroxyzine,심부정맥 위험 증가 가능,20180088,8
aceclofenac,ketorolac tromethamine,중증의 위장관계 이상반응,20050017,1440
celecoxib,ketorolac tromethamine,중증의 위장관계 이상반응,20050017,1720
dexibuprofen,ketorolac tromethamine,중증의 위장관계 이상반응,20050017,1120
diclofenac-β-dimethyl-aminoethanol,ketorolac tromethamine,중증의 위장관계 이상반응,20160155,210
aspirin,ketorolac tromethamine,중증의 위장관계 이상반응,20080068,460
ketorolac tromethamine,loxoprofen,"상가적인 위장관 궤양, 출혈의 위험",20080056,1200
ibuprofen,ketorolac tromethamine,중증의 위장관계 이상반응,20080068,1000
ketorolac tromethamine,meloxicam,중증의 위장관계 이상반응,20050017,960
ezetimibe,glecaprevir,횡문근융해증을 포함한 근육병증 위험 가능,20230083,316
domperidone,vandetanib,"QTc 연장 효과 증대로 심각한 위험(Torsade de Pointes, 심각한 심실성 부정맥 포함) 가능성",20150090,34
dronedarone,itraconazole,"Dronedarone의 혈중농도 증가. QT 연장, 심혈관계 사망 같은 약물이상반응 발생 위험 증가, Itraconazole 투여 중 및 종료 후 2주 간 해당 성분 투여 금기",20190131,148
dapagliflozin citric acid,iodixanol,기능적 신부전에 의해 유산 산성증 촉진,20200061,289
atorvastatin,iodixanol,기능적 신부전에 의해 유산 산성증 촉진,20200061,108
evogliptin,iodixanol,기능적 신부전에 의해 유산 산성증 촉진,20200061,48
esomeprazole,rilpivirine,위장 pH의 증가로 릴피비린의 흡수가 저하되어 릴피비린의 치료효과 감소,20150021,297
omeprazole,rilpivirine,위장 pH의 증가로 릴피비린의 흡수가 저하되어 릴피비린의 치료효과 감소,20150021,40
rabeprazole,rilpivirine,위장 pH의 증가로 릴피비린의 흡수가 저하되어 릴피비린의 치료효과 감소,20150021,233
fosphenytoin,rilpivirine,릴피비린의 혈중농도가 감소하여 치료효과 감소 혹은 내성발현,20150021,2
clarithromycin,ibrutinib,Ibrutinib의 혈중 농도 증가,20250086,177
ketoprofen,ketorolac tromethamine,중증의 위장관계 이상반응,20080068,30
ketorolac tromethamine,naproxen,중증의 위장관계 이상반응,20080068,610
ketorolac tromethamine,nabumetone,중증의 위장관계 이상반응,20050017,130
diclofenac,ketorolac tromethamine,중증의 위장관계 이상반응,20050017,270
domperidone,ondansetron,"QTc 연장 효과 증대로 심각한 위험(Torsade de Pointes, 심각한 심실성 부정맥 포함) 가능성",20150090,374
amiodarone,domperidone,"QTc 연장 효과 증대로 심각한 위험(Torsade de Pointes, 심각한 심실성 부정맥 포함) 가능성",20150090,34
calcitriol,paricalcitol,고칼슘혈증,20100278,70
atazanavir,rabeprazole,아타자나비르의 혈중농도 감소,20230045,233
irinotecan,st john's wort 80% methanol ext,이리노테칸 활성 대사물(SN-38)의 혈중 농도가 저하되어 작용 감소,20220087,38
azathioprine,tofacitinib,면억억제 효과 증가,20240466,300
clarithromycin,palbociclib,팔보시클립의 혈장 농도 증가,20180088,1593
itraconazole,palbociclib,팔보시클립의 혈장 농도 증가,20180088,666
lorlatinib,tacrolimus,Tacrolimus의 혈중농도가 감소될 수 있음,20240030,60
clopidogrel bisulfate,nirmatrelvir,Clopidogrel 활성대사체의 농도를 감소시킬 수 있음,20250046,127
nirmatrelvir,tamsulosin,Tamsulosin의 혈중농도를 증가시킬 수 있음,20250046,161
ritonavir,rivaroxaban,리바록사반의 혈중농도가 상승하여 출혈위험 증가,20150021,292
amiodarone,nirmatrelvir,심장 부정맥의 가능성,20250046,2
ritonavir,tamsulosin,Tamsulosin의 혈중농도를 증가시킬 수 있음,20250046,161
alfuzosin,nirmatrelvir,저혈압의 가능성,20250046,18
nirmatrelvir,simvastatin,"횡문근융해증을 포함하는 근육병증의 잠재적인 가능성. 이 약의 투여 시작으로부터 최소 12시간 전, 투여 중 5일동안 및 투여완료 후 5일동안 Simvastatin 사용을 중단할 것",20250046,109
cyclosporine,olmesartan medoxomil,"근육통, 근육약화, 근염, 때때로 횡문근 변성을 포함한 근육독성 촉진 가능",20230083,300
ezetimibe,pibrentasvir,횡문근융해증을 포함한 근육병증 위험 가능,20230083,316
alfacalcidol,sodium alendronate,고칼슘혈증,20110188,41
atorvastatin,posaconazole,횡문근융해를 비롯한 근육병증 발생가능성 증가,20190131,1254
caffeine,itraconazole,"맥각독성(혈관경련, 말단 및 기타조직 허혈), Itraconazole 투여 중 및 종료 후 2주 간 해당 성분 투여 금기",20090300,74
ergotamine,roxithromycin,"맥각독성(혈관경련, 말단 및 기타조직 허혈)",20090300,65
caffeine,clarithromycin,"맥각독성(혈관경련, 말단 및 기타조직 허혈)",20090300,177
caffeine,roxithromycin,"맥각독성(혈관경련, 말단 및 기타조직 허혈)",20090300,65
clarithromycin,ergotamine,"맥각독성(혈관경련, 말단 및 기타조직 허혈)",20090300,177
