id,code,name_ko
179,pregabalin,프레가발린
180,methotrexate,메토트렉세이트
181,allopurinol,알로푸리놀
182,nsaid,NSAID
183,orlistat,오를리스타트
184,chondroitin,콘드로이틴
185,peppermint_oil,페퍼민트오일
186,inulin,이눌린
187,biologics,생물학적제제
188,tenofovir,테노포비르
189,entecavir,엔테카비르
190,antiviral,항바이러스제
191,lactulose,락툴로오스
192,bcaa,분지사슬아미노산
193,manganese,망간
194,pancreatic_enzyme,췌장효소
195,inhaled_corticosteroid,흡입 스테로이드
196,laba,지속성 베타작용제
197,bronchodilator,기관지확장제
198,quercetin,케르세틴
199,pirfenidone,피르페니돈
200,antifibrotic,항섬유화제
201,isoniazid,이소니아지드
202,antituberculosis_drug,항결핵제
203,propolis,프로폴리스
204,anti_obesity_drug,항비만약
205,phentermine,펜터민
206,naltrexone,날트렉손
207,bupropion,부프로피온
208,liraglutide,리라글루타이드
209,multivitamin,종합비타민
210,finasteride,피나스테리드
211,antioxidant,고용량 항산화제
212,antiretroviral,항레트로바이러스제
213,protease_inhibitor,프로테아제억제제
214,nnrti,비뉴클레오시드 역전사효소억제제
215,integrase_inhibitor,인테그라제억제제
216,polyvalent_cation,다가양이온
217,ras_blocker,RAS차단제
218,potassium_sparing_diuretic,칼륨보존이뇨제
219,soy,콩
220,gaba,감마-아미노부티르산
221,gamma_oryzanol,감마오리자놀
222,creatine,크레아틴
223,l_arginine,L-아르기닌
224,cynanchum_wilfordii_complex,백수오등복합추출물
225,sophora_japonica_fruit_extract,회화나무열매추출물
226,milk_protein_hydrolysate,유단백가수분해물
227,lactobacillus,락토바실러스
228,lithium,리튬
229,rivaroxaban,리바록사반
230,cyclosporine,사이클로스포린
231,heparin,헤파린
232,phenytoin,페니토인
233,comfrey,컴프리
234,piperine,피페린
237,green_tea_extract_egcg,녹차 추출물(EGCG)
238,cimicifuga,승마
239,aloe_anthraquinone,알로에(안트라퀴논)
240,cod_liver_oil,코드간유·상어연골
241,oral_contraceptive,경구 피임약
