원료명(I2710),매핑 성분,code,confidence
구아바잎추출물 등 복합물(BENDU381)(제2009-16호),,,unmapped
보이차 추출물(제2009-17호),,,unmapped
Nopal 추출물(제2009-39호),,,unmapped
Green Mate Extract EFLA® 920(제2008-52호),,,unmapped
콜레우스 포스콜리 추출물 Forslean(제2009-47호),,,unmapped
리프리놀-초록입홍합추출오일(제2009-49호),,,unmapped
HK 나토배양물(제2009-50호),,,unmapped
"비즈왁스알코올(Bees Wax Alcohol, BWA)(제2010-1호)",,,unmapped
백수오 등 복합추출물(제2010-20호),백수오등복합추출물,cynanchum_wilfordii_complex,likely
발효생성아미노산 복합물(제2010-21호),,,unmapped
석류추출물(제2010-23호),,,unmapped
콩․보리 발효복합물(제2015-10호),,,unmapped
폴리코사놀-사탕수수왁스알코올(제2006-4호),폴리코사놀,policosanol,likely
식물스타놀에스테르(제2006-11호),식물스테롤,phytosterol,likely
씨제이 히비스커스 등 복합추출물(제2004-7호),,,unmapped
초록입홍합추출오일복합물(제2004-8호),,,unmapped
L-카르니틴 타르트레이트(제2012-19호),카르니틴,carnitine,likely
Collactive 콜라겐펩타이드(제2012-24호),콜라겐,collagen,likely
청국장균배양정제물(폴리감마글루탐산칼륨)(제2012-25호),칼륨,potassium,likely
씨폴리놀 감태주정추출물(제2012-28호),,,unmapped
솔잎 증류 농축액(제2012-30호),,,unmapped
아쉬아간다 추출물(제2012-33호),아슈와간다,ashwagandha,likely
콜레우스 포스콜리 추출물(제2012-5호),,,unmapped
PMO 참밀알부민(New제2007-23호),,,unmapped
쏘팔메토 열매 추출물 등 복합물(제2008-79호),쏘팔메토,saw_palmetto,likely
다래추출물(제2009-18호),,,unmapped
L-글루타민산 유래 GABA 함유 분말(제2009-1호),,,unmapped
중쇄지방산(MCFA) 함유 유지(제2009-20호),,,unmapped
CJ식물성유지 디글리세라이드(DG)(제2009-21호),,,unmapped
카제인가수분해물(제2009-22호),,,unmapped
호프추출물(제2009-25호),,,unmapped
Nopal추출물(제2010-10호),,,unmapped
헛개나무과병추출분말(제2008-55호),헛개나무,hovenia_dulcis,likely
지아잔틴 추출물(제2008-65호),지아잔틴,zeaxanthin,likely
루테인/지아잔틴 복합추출물(제2008-66호),루테인,lutein,likely
표고버섯균사체 AHCC(제2008-78호),,,unmapped
이소말토올리고당(제2005-10호),,,unmapped
이소말토올리고당(제2005-11호),,,unmapped
대두올리고당(제2005-20호),,,unmapped
타가토스(제2011-37호),,,unmapped
당귀등추출복합물(제2011-3호),,,unmapped
발효생성아미노산 복합물(제2011-40호),,,unmapped
밀전분유래 난소화성말토덱스트린(제2011-6호),난소화성 말토덱스트린,resistant_maltodextrin,likely
마카 젤라틴화 분말(제2011-7호),,,unmapped
스페인감초추출물(제2014-4호),감초,licorice,likely
가시오갈피 등 복합추출물(제2013-25호),,,unmapped
로즈힙분말(제2014-17호),,,unmapped
호박씨추출물 등 복합물(제2011-15호),호박씨 추출물,pumpkin_seed_extract,likely
유산균발효다시마추출물(제2011-22호),프로바이오틱스,probiotics,likely
유산균 발효 다시마추출물(제2011-23호),프로바이오틱스,probiotics,likely
헛개나무과병추출분말(제2014-1호),헛개나무,hovenia_dulcis,likely
석류농축액(제2014-22호),,,unmapped
보스웰리아 추출물(Boswellia serrata R. extract)(제2014-23호),보스웰리아,boswellia,likely
카카오분말(제2014-25호),,,unmapped
헛개나무과병추출분말(제2016-10호),헛개나무,hovenia_dulcis,likely
글로빈 가수분해물(제2011-21호),,,unmapped
콜레우스 포스콜리 추출물(제2011-42호),,,unmapped
HK표고버섯균사체(제2010-35호),,,unmapped
쌀겨추출물(제2009-66호),,,unmapped
동결건조누에분말(제2009-67호),,,unmapped
복분자추출분말(제2010-62호),,,unmapped
저분자콜라겐펩타이드(제2013-30호),콜라겐,collagen,likely
MR-10 민들레등복합추출물(제2013-31호),,,unmapped
전칠삼추출물 등 복합물(제2013-32호),,,unmapped
효모베타글루칸(제2013-34호),베타글루칸,beta_glucan,likely
"피엘에이지(PLAG, 1-palmitoyl-2-linoleoyl-3-acetyl-rac-glycerol)(제2013-35호)",,,unmapped
카제인 가수분해물(제2010-6호),,,unmapped
핑거루트추출분말(판두라틴)(제2013-5호),,,unmapped
돌외잎주정추출분말(액티포닌®)(제2013-8호),,,unmapped
Enterococcus faecalis 가열처리건조분말(제2008-31호),프로바이오틱스,probiotics,likely
"홍삼, 사상자, 산수유 복합추출물(제2008-67호)",홍삼,korean_red_ginseng,likely
구기자추출물(제2014-51호),,,unmapped
발효식초석류복합물(제2014-57호),,,unmapped
Lactobacillus gasseri BNR17(제2014-5호),프로바이오틱스,probiotics,likely
나토균배양분말(제2012-7호),,,unmapped
마리골드 추출물(루테인 에스테르)(제2012-22호),루테인,lutein,likely
콩발효추출물(제2012-31호),,,unmapped
콩발효추출물(제2012-32호),,,unmapped
CMO 함유 FAC(Fatty Acid Complex)(제2014-26호),,,unmapped
UREX 프로바이오틱스(제2014-27호),프로바이오틱스,probiotics,likely
도라지추출물(제2013-26호),,,unmapped
무화과페이스트(제2014-29호),,,unmapped
적포도발효농축액(제2014-30호),,,unmapped
액상 다래추출물(제2009-58호),,,unmapped
인삼가수분해 농축액(제2011-27호),인삼,ginseng,likely
그린커피빈추출물(제2014-31호),,,unmapped
식물스타놀 에스테르(제2014-32호),식물스테롤,phytosterol,likely
민들레 등 추출복합물(제2012-12호),,,unmapped
MS-10 엉겅퀴등복합추출물(제2020-6호),,,unmapped
해국추출물(제2020-11호),,,unmapped
홍국쌀(제2009-19호),홍국,red_yeast_rice,likely
헤모힘 당귀등 혼합추출물(제2006-17호),,,unmapped
쇠비름주정추출분말(KDC16-2)(제2019-18호),,,unmapped
차조기등복합추출물(New제2007-13호),,,unmapped
토치대두발효추출물(제2008-18호),,,unmapped
APIC 대두배아열수추출물 등 복합물(제2008-6호),,,unmapped
프로바이오틱스(드시모네)(제2009-28호),프로바이오틱스,probiotics,likely
밀 추출물(Ceratiq®)(제2020-15호),,,unmapped
실크단백질 산가수분해물(Sil-Q1)(제2021-1호),단백질,protein,likely
복분자 추출물(RE-20)(제2021-2호),,,unmapped
보스웰리아추출물등 복합물(Flexir)(제2021-9호),보스웰리아,boswellia,likely
,,,unmapped
루바브뿌리추출물(제2021-17호),,,unmapped
꾸지뽕잎추출물(제2021-16호),,,unmapped
저분자콜라겐펩타이드SH(제2022-5호),콜라겐,collagen,likely
사삼추출물(제2022-7호),,,unmapped
타히보 추출물 (TabetriⓇ)(제2022-2호),,,unmapped
유산균복합물(AB-LIFE®)(제2022-15호),프로바이오틱스,probiotics,likely
L-글루탐산발효 가바분말(제2022-19호),,,unmapped
보스웰리아추출물(SERRATRIN)(제2022-17호),보스웰리아,boswellia,likely
루테인지아잔틴추출복합물(제2022-29호),루테인,lutein,likely
청호추출분말(리베라템)(제2021-19호),,,unmapped
Weissella cibaria JW15 프로바이오틱스(제2022-35호),프로바이오틱스,probiotics,likely
루테인지아잔틴추출복합물(제2021-21호),루테인,lutein,likely
비수리추출분말(제2022-40호),,,unmapped
천심련추출물(ParActinⓇ)(제2022-37호),,,unmapped
콜레우스포스콜리 추출물,,,unmapped
Bacillus coagulans Unique IS-2 프로바이오틱스(제2022-45호),프로바이오틱스,probiotics,likely
현삼추출물(제2022-42호),,,unmapped
해국추출물(제2022-36호),,,unmapped
에키네시아추출물(제2023-1호),에키네시아,echinacea,likely
참당귀·녹용·황기 복합추출물(제2023-23호),,,unmapped
Lactiplantibacillus plantarum TWK10 프로바이오틱스(제2022-32호),프로바이오틱스,probiotics,likely
저분자 피쉬 콜라겐 펩타이드 (Naticol® BPMG)(제2023-25호),콜라겐,collagen,likely
EPA 및 DHA 함유 유지,오메가-3,omega3,exact
와사비잎추출물(NCWL01)(제2023-18호),,,unmapped
저분자콜라겐펩타이드(제2023-33호),콜라겐,collagen,likely
유청단백지질추출물(제2023-30호),,,unmapped
Lactiplantibacillus plantarum C29 프로바이오틱스와 발효대두분말의 복합물(DW2009)(제2022-43호),프로바이오틱스,probiotics,likely
저분자유청단백가수분해물(제2023-21호),,,unmapped
백편두추출분말(NOVAponinⓇ)(제2024-6호),,,unmapped
루바브뿌리추출물(ERr731Ⓡ)(제2024-17호),,,unmapped
돈태반 발효추출물(제2019-31호),,,unmapped
배초향 추출물(Agatri)(제2020-4호),,,unmapped
발효우슬등복합물(제2020-12호),,,unmapped
구절초추출물(제2021-12호),,,unmapped
뽕나무가지주정추출분말(제2021-15호),,,unmapped
레몬밤민들레추출복합물(LD100)(제2022-23호),,,unmapped
발아발효콩추출물(제2022-8호),,,unmapped
유산균발효마늘추출분말(제2016-16호),마늘,garlic,likely
루바브뿌리추출물(제2022-28호),,,unmapped
레몬버베나추출물 등 복합물(티에뜨레Ⓡ)(제2022-13호),,,unmapped
저분자콜라겐펩타이드(제2023-14호),콜라겐,collagen,likely
Lactiplantibacillus plantarum HAC01 프로바이오틱스(제2022-21호),프로바이오틱스,probiotics,likely
와사비잎추출물(NCWL01)(제2023-17호),,,unmapped
저분자유청단백가수분해물(제2023-22호),,,unmapped
두충우슬추출복합물(KGC08EA)(제2023-40호),,,unmapped
전호잎추출물(제2022-25호),,,unmapped
파비플로라생강뿌리추출물(제2024-14호),생강,ginger,likely
녹용당귀등 복합추출물(제2023-16호),,,unmapped
영지버섯균사체추출분말(제2024-8호),,,unmapped
목천료추출분말(제2024-10호),,,unmapped
산수유추출물등복합물(리베스틴Ⓡ)(제2022-26호),,,unmapped
유산균발효대두분말(제2024-38호),프로바이오틱스,probiotics,likely
참당귀황기추출복합물(SHPro®)(제2024-28호),,,unmapped
유산균발효굴추출물(FGO)(제2024-27호),프로바이오틱스,probiotics,likely
발효굴추출물(FSO)(제2023-39호),,,unmapped
황칠나무잎·줄기추출물(제2024-40호),,,unmapped
풋사과 농축분말(APPLOZIN®)(제2024-4호),,,unmapped
Latilactobacillus curvatus LB-P9 프로바이오틱스(제2025-5호),프로바이오틱스,probiotics,likely
마리골드꽃추출물(지아잔틴함유)(제2025-7호),지아잔틴,zeaxanthin,likely
L. mucosae NK41과 B. longum NK46의 프로바이오틱스 복합물(NVP-2106)(제2025-15호),프로바이오틱스,probiotics,likely
헛개나무과병·오미자박추출복합물(제2025-12호),헛개나무,hovenia_dulcis,likely
프로폴리스망고스틴껍질복합물(제2025-13호),프로폴리스,propolis,likely
Lactilactobacillus curvatus LB-P9 프로바이오틱스(제2025-6호),프로바이오틱스,probiotics,likely
에키네시아추출물(제2024-3호),에키네시아,echinacea,likely
덖음귤피추출분말(JRC)(제2025-23호),,,unmapped
라임과피추출물(제2025-26호),,,unmapped
저분자콜라겐펩타이드(제2024-35호),콜라겐,collagen,likely
오미자박추출물(제2025-31호),,,unmapped
배초향 추출물(Agatri)(제2020-5호),,,unmapped
작약추출물등복합물(HT074)(제2020-3호),,,unmapped
사군자추출분말(제2021-3호),,,unmapped
인삼(제2021-10호),인삼,ginseng,likely
단삼주정추출분말(제2023-3호),,,unmapped
새싹보리추출물(RexcliverⓇ)(제2023-20호),,,unmapped
다이크로스타키스 글로메라타 추출물(Dyglomera®)(제2023-36호),,,unmapped
녹용효소분해추출물(HENKIVⓇ)(제2024-2호),,,unmapped
새싹인삼추출분말(제2023-27호),인삼,ginseng,likely
장미꽃잎추출물(NOVAROSE®)(제2025-2호),,,unmapped
티아이소크라이시스루테아분말(제2025-9호),,,unmapped
복분자추출물(RE-20)(제2025-34호),,,unmapped
인디안구스베리·새싹보리추출복합물(IB Complex)(제2025-40호),,,unmapped
한삼덩굴추출분말(HSy2)(제2025-41호),,,unmapped
루테인지아잔틴추출복합물(제2025-35호),루테인,lutein,likely
마그나스표고균사체추출물분말(제2009-3호),,,unmapped
단삼주정추출분말(SAGX)(제2025-16호),,,unmapped
B. breve IDCC 4401 열처리배양건조물(BBR®)(제2021-5호),,,unmapped
콘드로이친황산염(제2025-63호),콘드로이틴,chondroitin,likely
피롤로퀴놀린퀴논이나트륨염(NOVAQ®)(제2025-56호),,,unmapped
Akkermansia muciniphila HB05 열처리배양건조물(HB05P)(제2025-71호),,,unmapped
라임카카오추출복합물(제2025-68호),,,unmapped
녹용유산균발효분말(제2025-45호),프로바이오틱스,probiotics,likely
Akkermansia muciniphila EB-AMDK19 열처리배양건조물(제2025-46호),,,unmapped
Lactiplantibacillus plantarum ATG-K2 프로바이오틱스(제2025-58호),프로바이오틱스,probiotics,likely
난각막분말(DEMⓇ)(제2023-35호),,,unmapped
L. rhamnosus IDCC 3201 열처리배양건조물(RHT®)(제2018-12호),,,unmapped
보리수나무열매추출물(Elaea)(제2025-59호),,,unmapped
블랙커민추출물(FJ)(제2025-4호),,,unmapped
아쉬아간다추출물(Sensoril®)(제2024-30호),아슈와간다,ashwagandha,likely
대두배아유산균발효물(SE5-OH)(제2025-20호),프로바이오틱스,probiotics,likely
동충하초 유래 P. hepiali 균사체(Cs-4) 추출물(제2011-16호),,,unmapped
홍어껍질콜라겐펩타이드(제2025-49호),콜라겐,collagen,likely
강황추출물(제2025-51호),커큐민,curcumin,likely
구기자나무뿌리껍질추출분말(제2026-12호),,,unmapped
사탕수수왁스알코올(폴리코사놀)(제2025-19호),폴리코사놀,policosanol,likely
피브로인추출물(BF-7®)(제2009-46호),,,unmapped
포도블루베리추출혼합분말(제2026-3호),,,unmapped
Lacticaseibacillus paracasei BEPC22와 Lactiplantibacillus plantarum BELP53의 프로바이오틱스 복합물(HH202-LB)(제2026-22호),프로바이오틱스,probiotics,likely
루테인지아잔틴복합추출물(제2018-11호),루테인,lutein,likely
풋사과추출물 애플페논(Applephenon)(제2015-9호),,,unmapped
키토올리고당(제2018-10호),,,unmapped
인삼(제2019-2호),인삼,ginseng,likely
옻나무 추출분말(제2019-1호),,,unmapped
호로파종자추출물(TestofenⓇ)(제2019-15호),,,unmapped
루테인지아잔틴복합추출물(제2019-16호),루테인,lutein,likely
오가피열매추출물(제2019-11호),,,unmapped
루바브뿌리 추출물(제2019-6호),,,unmapped
스페인감초추출물(제2019-7호),감초,licorice,likely
상황버섯등 추출복합물(제2019-8호),,,unmapped
우뭇가사리추출물(제2019-9호),,,unmapped
빌베리 추출물(제2019-10호),,,unmapped
피쉬 콜라겐펩타이드(제2019-12호),콜라겐,collagen,likely
수국잎열수추출물(제2020-8호),,,unmapped
들깨쇠비름혼합추출물(제2021-11호),,,unmapped
천심련추출물(ParActinⓇ)(제2022-3호),,,unmapped
바이오게르마늄 효모(제2007-15호),,,unmapped
저분자콜라겐펩타이드 AG(제2023-10호),콜라겐,collagen,likely
옥수수수염·레몬밤추출복합물(CL-5MoA)(제2023-7호),,,unmapped
Lactiplantibacillus plantarum Q180(제2021-23호),프로바이오틱스,probiotics,likely
연어이리추출물(DOTTM연어핵산)(제2019-5호),,,unmapped
살라시아레티큘라타추출물(제2025-39호),,,unmapped
저분자콜라겐펩타이드(제2024-34호),콜라겐,collagen,likely
마리골드꽃추출물(지아잔틴함유)(제2026-9호),지아잔틴,zeaxanthin,likely
마르멜로추출물(제2025-64호),,,unmapped
Weissella confusa WIKIM51 프로바이오틱스(Wilac D001)(제2026-6호),프로바이오틱스,probiotics,likely
프로바이오틱스(Lactiplantibacillus plantarum Q180)·미세조류(Phaeodactylum tricornutum) 복합물(CKDB-322)(제2026-19호),프로바이오틱스,probiotics,likely
쑥부쟁이추출분말(제2019-13호),,,unmapped
인동덩굴꽃봉오리추출물(그린세라-F)(제2019-14호),인동덩굴,honeysuckle,likely
차즈기추출물(제2019-17호),,,unmapped
가자추출물(AyuFlexⓇ)(제2022-12호),,,unmapped
강황추출물(제2023-5호),커큐민,curcumin,likely
L. plantarum LC27과 B. longum LC67의 프로바이오틱스 복합물(NVP-1702)(제2023-19호),프로바이오틱스,probiotics,likely
양춘사추출물(제2023-6호),,,unmapped
홍삼(제2024-20호),홍삼,korean_red_ginseng,likely
CaHMB(Calcium β-Hydroxy-β-methylbutyrate)(제2023-26호),HMB,hmb,likely
마리골드꽃추출물(지아잔틴함유)(제2024-25호),지아잔틴,zeaxanthin,likely
천마추출물(제2024-19호),,,unmapped
대두추출물등 복합물(메노세라)(제2019-29호),콩,soy,likely
배초향·고지베리·무화과복합추출물(제2024-23호),,,unmapped
홍삼추출효소처리분말(제2024-33호),홍삼,korean_red_ginseng,likely
발효굴추출물(FSO)(제2023-41호),,,unmapped
유산균발효굴추출물(FGO)(제2024-26호),프로바이오틱스,probiotics,likely
포도블루베리추출혼합분말(제2019-30호),,,unmapped
프로바이오틱스(Lactiplantibacillus plantarum KC3)·익모초추출복합물(CKDB-315)(제2025-1호),프로바이오틱스,probiotics,likely
털부처꽃추출물(제2024-37호),,,unmapped
산딸기·왕느릅나무·치자추출복합물(제2024-36호),,,unmapped
헛개나무과병·오미자박추출복합물(제2025-18호),헛개나무,hovenia_dulcis,likely
밀배유추출물(제2025-10호),,,unmapped
핑거루트추출물(판두라틴)(제2013-5호),,,unmapped
골드키위유산균발효물(Kiwibiotics®)(제2025-22호),프로바이오틱스,probiotics,likely
모로오렌지추출분말(Morosil®)(제2025-25호),,,unmapped
녹각효소분해추출물HP(NP-2007)(제2025-28호),,,unmapped
감국감태추출복합물(제2025-33호),,,unmapped
Lactiplantibacillus plantarum LMT1-48 프로바이오틱스(제2025-32호),프로바이오틱스,probiotics,likely
유청단백지질추출물(제2023-29호),,,unmapped
오미자박추출물(제2025-30호),,,unmapped
황해쑥추출분말(제2024-21호),,,unmapped
연어코연골추출물(제2025-42호),,,unmapped
아연,아연,zinc,exact
구리,구리,copper,exact
셀레늄(또는 셀렌),,,unmapped
요오드,요오드,iodine,exact
망간,망간,manganese,exact
몰리브덴,,,unmapped
칼륨,칼륨,potassium,exact
크롬,크롬,chromium,exact
식이섬유,,,unmapped
단백질,단백질,protein,exact
필수 지방산,,,unmapped
인삼,인삼,ginseng,exact
홍삼,홍삼,korean_red_ginseng,exact
알로에 전잎,,,unmapped
프로폴리스추출물,프로폴리스,propolis,exact
레시틴,,,unmapped
식물스테롤/식물스테롤에스테르,식물스테롤,phytosterol,likely
알콕시글리세롤 함유 상어간유,,,unmapped
옥타코사놀 함유 유지,,,unmapped
매실추출물,,,unmapped
글루코사민,글루코사민,glucosamine,exact
뮤코다당.단백,콘드로이틴,chondroitin,exact
히알루론산,히알루론산,hyaluronic_acid,exact
"NAG(엔에이지, N-아세틸글루코사민, N-Acetylglucosamine)",글루코사민,glucosamine,likely
폴리감마글루탐산,,,unmapped
빌베리 추출물,,,unmapped
라피노스,,,unmapped
분말한천,,,unmapped
크레아틴,크레아틴,creatine,exact
유단백가수분해물,유단백가수분해물,milk_protein_hydrolysate,exact
상황버섯추출물,,,unmapped
토마토추출물,,,unmapped
곤약감자추출물,,,unmapped
BT-11원지추출분말(제2009-12호),,,unmapped
L-글루타민(제2008-7호),,,unmapped
칸탈로프멜론추출물(제2008-9호),,,unmapped
소나무껍질추출물등복합물(제2008-14호),,,unmapped
가쯔오부시올리고펩타이드(제2006-13호),,,unmapped
가쯔오부시올리고펩타이드(제2006-16호),,,unmapped
전칠삼추출물 등 복합물(제2010-47호),,,unmapped
L-카르니틴 타르트레이트(제2010-50호),카르니틴,carnitine,likely
녹차추출물/테아닌 복합물(제2010-51호),테아닌,l_theanine,likely
서목태(쥐눈이콩)펩타이드(제2010-53호),,,unmapped
허니부쉬추출발효분말(제2017-3호),,,unmapped
Lactobacillus gasseri BNR17(제2017-6호),프로바이오틱스,probiotics,likely
루테인지아잔틴복합추출물(제2018-4호),루테인,lutein,likely
아프리카망고 종자추출물(IGOB131)(제2015-14호),,,unmapped
유단백추출물(제2015-16호),,,unmapped
천마 등 복합추출물(HX106)(제2015-17호),,,unmapped
밀배유추출물(제2015-18호),,,unmapped
L-아르기닌(제2015-19호),L-아르기닌,l_arginine,likely
프로바이오틱스 HY7714(제2015-1호),프로바이오틱스,probiotics,likely
아마인(제2009-72호),,,unmapped
풋사과추출물 애플페논(Applephenon)(제2020-9호),,,unmapped
강황 추출물(터마신)(제2014-2호),커큐민,curcumin,likely
미숙여주주정추출분말(제2020-14호),여주,bitter_melon,likely
갈락토올리고당 분말(네오고스-P70)(제2021-8호),프리바이오틱스,prebiotics,likely
쑥부쟁이추출분말(제2021-13호),,,unmapped
참깨박추출물(제2021-14호),,,unmapped
저분자콜라겐펩타이드GT(제2022-6호),콜라겐,collagen,likely
병풀추출분말(제2021-24호),,,unmapped
증숙생강추출분말(GGE03)(제2022-24호),생강,ginger,likely
댕댕이나무열매(허니베리)추출분말(제2019-19호),,,unmapped
청호추출분말(리베라템)(제2021-20호),,,unmapped
홍삼오일(KGC11o)(제2022-33호),홍삼,korean_red_ginseng,likely
귀리식이섬유,,,unmapped
난소화성말토덱스트린,난소화성 말토덱스트린,resistant_maltodextrin,exact
대두식이섬유,,,unmapped
목이버섯식이섬유,,,unmapped
밀식이섬유,,,unmapped
옥수수겨식이섬유,,,unmapped
폴리덱스트로스,,,unmapped
코엔자임Q10,코엔자임 Q10,coenzyme_q10,exact
쏘팔메토 열매 추출물,쏘팔메토,saw_palmetto,exact
헤마토코쿠스 추출물,아스타잔틴,astaxanthin,exact
감마리놀렌산 함유 유지,감마리놀렌산,gamma_linolenic_acid,likely
인삼다당체추출물(제2015-11호),인삼,ginseng,likely
댕댕이나무열매추출분말(제2019-19호),,,unmapped
자몽추출물등 복합물(Sinetrol)(제2019-24호),자몽,grapefruit,likely
포도과피 효소발효추출물(KL-GEFE)(제2019-27호),,,unmapped
황기추출물 등 복합물(HT042)(제2014-40호),,,unmapped
호박씨추출물 등 복합물(제2014-43호),호박씨 추출물,pumpkin_seed_extract,likely
참당귀 추출분말(Nutragen)(제2014-44호),,,unmapped
L-arabinose(제2014-45호),,,unmapped
비파엽추출물(제2014-46호),,,unmapped
피니톨(제2005-15호),,,unmapped
피크노제놀-프랑스해안송껍질추출물<PYCNOGENOL>(제2006-1호),,,unmapped
이소말토올리고당(제2006-2호),,,unmapped
황금등복합물(제2006-3호),,,unmapped
곰피추출물(제2018-1호),,,unmapped
빌베리 추출물(제2018-2호),,,unmapped
과채유래유산균(L.plantarum CJLP133)(제2013-11호),프로바이오틱스,probiotics,likely
가시오가피숙지황복합추출물(제2013-14호),,,unmapped
동충하초 주정추출물(제2013-16호),,,unmapped
Lactobacillus sakei Probio65(제2013-17호),프로바이오틱스,probiotics,likely
로즈힙분말(제2013-18호),,,unmapped
AP 콜라겐 효소분해 펩타이드(제2010-25호),콜라겐,collagen,likely
피카오프레토 분말 등 복합물(ClearGuard TM)(제2010-28호),,,unmapped
연어 펩타이드(제2010-2호),,,unmapped
보리 베타글루칸 추출물(Barley b-glucan Extract)(제2010-32호),베타글루칸,beta_glucan,likely
지각상엽 추출 혼합물(제2010-33호),,,unmapped
크랜베리 추출물(제2011-39호),크랜베리,cranberry,likely
창녕양파추출액(제2010-38호),,,unmapped
크랜베리 추출물(Cran-Max)(제2010-39호),크랜베리,cranberry,likely
석류농축액(제2010-40호),,,unmapped
로즈힙분말(제2013-1호),,,unmapped
락토페린(우유정제단백질)(제2013-20호),단백질,protein,likely
루테인지아잔틴복합추출물20%(제2013-23호),루테인,lutein,likely
매스틱 검(제2014-50호),,,unmapped
유단백가수분해물(락티움)(제2020-2호),유단백가수분해물,milk_protein_hydrolysate,likely
베타글루칸분말(제2020-10호),베타글루칸,beta_glucan,likely
발효율피추출분말(제2021-4호),,,unmapped
로즈마리추출물등복합물(SunMax)(제2021-18호),,,unmapped
사삼추출물(제2022-7호),,,unmapped
열처리녹차추출물(제2022-34호),녹차 카테킨,green_tea_extract,likely
아쉬아간다 추출물(ShodenⓇ)(제2022-27호),아슈와간다,ashwagandha,likely
흰목이버섯효소분해추출물(Neu learn)(제2022-30호),,,unmapped
녹차추출물,녹차 카테킨,green_tea_extract,exact
바나바잎 추출물,바나바잎,banaba_leaf,likely
나토균배양분말(제2013-6호),,,unmapped
지초추출물(제2010-59호),,,unmapped
히드록시프로필메틸셀룰로오스(제2014-12호),,,unmapped
가시오갈피 등 복합추출물(제2011-28호),,,unmapped
상엽추출물(제2014-14호),,,unmapped
창녕양파추출액(제2016-11호),,,unmapped
지방산복합물 FAC(Fatty Acid Complex)(제2012-16호),,,unmapped
보리 베타글루칸 추출물(Barley β-glucan Extract)(제2009-73호),베타글루칸,beta_glucan,likely
정제오징어유(제2009-76호),,,unmapped
자일로올리고당(xylooligosaccharide) 분말(제2009-80호),프리바이오틱스,prebiotics,likely
자일로올리고당(xylooligosaccharide)(제2009-81호),프리바이오틱스,prebiotics,likely
파크랜 크랜베리 분말(PACran Whole Cranberry Powder)(제2009-84호),크랜베리,cranberry,likely
해태올리고펩티드(NORI-PEPTIDE)(제2009-87호),,,unmapped
Green Mate Extract EFLA 920(제2010-7호),,,unmapped
아티초크 추출물(제2010-8호),,,unmapped
파크랜 크랜베리 분말(제2014-34호),크랜베리,cranberry,likely
